# Final Consonant /p/ vs /b/
Cap,Cab,fc
Rip,Rib,fc
Mop,Mob,fc
Tap,Tab,fc
Rope,Robe,fc
Cop,Cob,fc
Drip,Drib,fc
Slap,Slab,fc

# Final Consonant /t/ vs /d/
Bat,Bad,fc
Mat,Mad,fc
Seat,Seed,fc
Feet,Feed,fc
Cart,Card,fc
Heart,Hard,fc
Sat,Sad,fc
Wheat,Weed,fc
Late,Laid,fc
Bet,Bed,fc
Plate,Played,fc
Gate,Gade,fc
Bright,Bride,fc
Pot,Pod,fc
Goat,Goad,fc

# Final Consonant /k/ vs /g/
Sack,Sag,fc
Back,Bag,fc
Duck,Dug,fc
Pick,Pig,fc
Tack,Tag,fc
Rack,Rag,fc
Peck,Peg,fc
Tuck,Tug,fc
Leak,League,fc
Dock,Dog,fc

# Final Consonant /s/ vs /z/
Ice,Eyes,fc
Pace,Pays,fc
Race,Rays,fc
Price,Prize,fc
Lace,Lays,fc
Loose,Lose,fc
Moose,Moos,fc
Peace,Peas,fc
Advice,Advise,fc
Niece,Knees,fc

# Final Consonant /f/ vs /v/
Leaf,Leave,fc
Beef,Believe,fc
Proof,Prove,fc
Half,Have,fc
Loaf,Love,fc
Strife,Strive,fc
Life,Live,fc
Shelf,Shelve,fc

# Final Consonant /th/ (voiceless) vs /th/ (voiced)
Teeth,Teethe,fc
Breath,Breathe,fc
Wreath,Wreathe,fc
Sheath,Sheathe,fc
Bath,Bathe,fc
Mouth,Mouthe,fc

# Final Consonant /ch/ vs /j/
Batch,Badge,fc
Catch,Cadge,fc
Latch,Ledge,fc
Match,Madge,fc
Reach,Ridge,fc
Beach,Beige,fc
Lunch,Lunge,fc
Bench,Binge,fc

# Final Consonant /m/ vs /n/
Beam,Bean,fc
Seem,Seen,fc
Team,Teen,fc
Lame,Lane,fc
Tame,Tain,fc
Dome,Done,fc
Sum,Sun,fc
Rum,Run,fc
Bum,Bun,fc
Hum,Hun,fc
Foam,Phone,fc
Roam,Roan,fc
Seam,Seen,fc
Trim,Train,fc
Dim,Din,fc

# Final Consonant /n/ vs /ng/
Thin,Thing,fc
Sin,Sing,fc
Win,Wing,fc
Pin,Ping,fc
Ban,Bang,fc
Ran,Rang,fc
Ton,Tongue,fc
Run,Rung,fc
Bun,Bung,fc
Kin,King,fc
Bin,Bing,fc
Fan,Fang,fc

# Final Consonant /l/ vs /r/
Seal,Seer,fc
Pail,Pair,fc
Sale,Sayer,fc
Pole,Pour,fc
Tall,Tore,fc
Ball,Bore,fc
Pal,Par,fc
All,Are,fc
Fell,Fair,fc
Bowl,Bower,fc
Cool,Cure,fc
Fool,For,fc

# Final Consonant /sh/ vs /ch/
Wash,Watch,fc
Mesh,Metch,fc
Cash,Catch,fc
Mash,Match,fc
Dash,Datch,fc
Gash,Gatch,fc
Lash,Latch,fc
Rash,Ratch,fc

# Final Consonant /t/ vs /k/
Bat,Back,fc
Mat,Mac,fc
Seat,Seek,fc
Feet,Peek,fc
Pot,Pock,fc
Bite,Bike,fc
Late,Lake,fc
Mate,Make,fc
Bait,Bake,fc
Gate,Gake,fc

# Final Consonant /d/ vs /g/
Bad,Bag,fc
Mad,Mag,fc
Bead,Beg,fc
Sad,Sag,fc
Bed,Beg,fc
Fed,Fig,fc
Seed,Seek,fc
Lead,League,fc

# Final Consonant /p/ vs /t/
Cap,Cat,fc
Mop,Mot,fc
Tap,Tat,fc
Leap,Leat,fc
Reap,Reat,fc
Nap,Gnat,fc
Sip,Sit,fc
Dip,Dit,fc
Tip,Tit,fc
Rip,Writ,fc

# Final Consonant /b/ vs /d/
Rob,Rod,fc
Crib,Grid,fc
Tab,Tad,fc
Jab,Jad,fc
Rub,Rud,fc
Nab,Nad,fc
Cub,Cud,fc

# Final Consonant Clusters
Bent,Bend,fc
Spent,Spend,fc
Rent,Rend,fc
Tent,Tend,fc
Melt,Meld,fc
Belt,Belled,fc
Felt,Felled,fc
Bunt,Bund,fc
