# 1 Syllable vs 2 Syllables
Ball,Pizza,syllables
Bat,Tiger,syllables
Cat,Pencil,syllables
Dog,Table,syllables
Cup,Coffee,syllables
Book,Notebook,syllables
Pen,Paper,syllables
Hat,Blanket,syllables
Shirt,Sweater,syllables
Shoe,Sandal,syllables
Car,Firetruck,syllables
Bus,Airplane,syllables
Bike,Scooter,syllables
Train,Wagon,syllables
Sun,Rainbow,syllables
Moon,Thunder,syllables
Star,Lightning,syllables
Rain,Snowflake,syllables
Tree,Forest,syllables
Grass,Garden,syllables
Bird,Eagle,syllables
Fish,Dolphin,syllables
Bear,Monkey,syllables
Frog,Lizard,syllables
Milk,Lemonade,syllables
Bread,Muffin,syllables
Cake,Cookie,syllables
Soup,Sandwich,syllables
Pie,Taco,syllables
Salt,Pepper,syllables
Clock,Music,syllables
Fork,Spoon,syllables
Knife,Butter,syllables
Plate,Napkin,syllables
Bowl,Chopsticks,syllables
Glass,Water,syllables
Bed,Pillow,syllables
Desk,Pencil,syllables
Chair,Laptop,syllables
Door,Window,syllables

# 1 Syllable vs 3 Syllables
Cat,Elephant,syllables
Dog,Dinosaur,syllables
Ball,Kangaroo,syllables
Cup,Hamburger,syllables
Pen,Calendar,syllables
Hat,Octopus,syllables
Shoe,Piano,syllables
Car,Bicycle,syllables
Sun,Radio,syllables
Moon,Computer,syllables
Tree,Tomato,syllables
Bird,Butterfly,syllables
Fish,Jellyfish,syllables
Milk,Banana,syllables
Bread,Potato,syllables
Cake,Broccoli,syllables
House,Apartment,syllables
Chair,Director,syllables
Book,Library,syllables
Phone,Telephone,syllables
Bed,Strawberry,syllables
Shirt,Pineapple,syllables
Shoe,Saxophone,syllables
Bag,Medicine,syllables
Lamp,Volcano,syllables
Fan,Umbrella,syllables
Clock,Animal,syllables
Desk,Orchestra,syllables
Plant,Family,syllables
Truck,Gorilla,syllables

# 2 Syllables vs 3 Syllables
Tiger,Butterfly,syllables
Table,Dinosaur,syllables
Pizza,Hamburger,syllables
Pencil,Telephone,syllables
Coffee,Banana,syllables
Sweater,Computer,syllables
Airplane,Gorilla,syllables
Rainbow,Octopus,syllables
Garden,Tomato,syllables
Dolphin,Elephant,syllables
Forest,Alligator,syllables
Thunder,Kangaroo,syllables
Monkey,Piano,syllables
Muffin,Broccoli,syllables
Sandwich,Potato,syllables
Blanket,Radio,syllables
Scooter,Bicycle,syllables
Sandal,Calendar,syllables
Eagle,Jellyfish,syllables
Lightning,Library,syllables
Tiger,Strawberry,syllables
Cupcake,Pineapple,syllables
Doorbell,Saxophone,syllables
Backpack,Medicine,syllables
Baby,Volcano,syllables
Teacher,Umbrella,syllables
Marker,Animal,syllables
Captain,Orchestra,syllables
Window,Family,syllables
Sunshine,Directory,syllables

# 2 Syllables vs 4+ Syllables
Apple,Watermelon,syllables
Turtle,Alligator,syllables
Tiger,Rhinoceros,syllables
Pencil,Calculator,syllables
Pizza,Refrigerator,syllables
Coffee,Television,syllables
Table,Democracy,syllables
Cookie,Delicious,syllables
Flower,Hippopotamus,syllables
Window,Encyclopedia,syllables
Music,University,syllables
Chicken,Motorcycle,syllables
Water,Elevator,syllables
Garden,Caterpillar,syllables
Rabbit,Arithmetic,syllables
Yellow,Discovery,syllables
Purple,Helicopter,syllables
Dragon,December,syllables
Rocket,February,syllables
Ocean,Beautiful,syllables
